text_id, feature_id, text_type, text_order, text_text
0,0,1,0,"Spellcasting"
1,0,0,1,"You have learned to untangle and reshape the fabric of reality in harmony with your wishes and music."
2,0,0,2,"Your spells are part of your vast repertoire, magic that you can tune to different situations."
3,1,2,0,"Cantrips"
4,1,0,1,"You know two cantrips of your choice from the bard spell list. You learn additional bard cantrips of your choice at higher levels, as shown in the Cantrips Known column of the Bard table."
5,2,2,0,"Spell Slots"
6,2,0,1,"The Bard table shows how many spell slots you have to cast your spells of 1st level and higher. To cast one of these spells, you must expend a slot of the spell's level or higher. You regain all expended spell slots when you finish a long rest."
7,2,0,2,"For example, if you know the 1st-level spell cure wounds and have a 1st-level and a 2nd-level spell slot available, you can cast cure wounds using either slot."
8,3,2,0,"Spells Known of Ist Level and Higher"
9,3,0,1,"You know four 1st-level spells of your choice from the bard spell list."
10,3,0,2,"The Spells Known column of the Bard table shows when you learn more bard spells of your choice."
11,3,0,3,"Each of these spells must be of a level for which you have spell slots, as shown on the table. For instance, when you reach 3rd level in this class, you can learn one new spell of 1st or 2nd level."
12,3,0,4,"Additionally, when you gain a level in this class, you can choose one of the bard spells you know and replace it with another spell from the bard spell list, which also must be of a level for which you have spell slots."
13,4,2,0,"Spellcasting Ability"
14,4,0,1,"Charisma is your spellcasting ability for your bard spells. Your magic comes from the heart and soul you pour into the performance of your music or oration. You use your Charisma whenever a spell refers to your spellcasting ability. In addition, you use your Charisma modifier when setting the saving throw DC for a bard spell you cast and when making an attack roll with one."
15,4,0,2,"<b>Spell save DC</b> = 8 + your proficiency bonus \+ your Charisma modifier."
16,4,0,3,"<b>Spell attack modifier</b> = your proficiency bonus \+ your Charisma modifier."
17,5,2,0,"Ritual Casting"
18,5,0,1,"You can cast any bard spell you know as a ritual if that spell has the ritual tag."
19,5,0,2,"Spellcasting Focus You can use a musical instrument (see Equipment) as a spellcasting focus for your bard spells."
20,6,1,0,"Bardic Inspiration"
