text_id, feature_id, text_type, text_order, text_text
0,0,1,0,"Spellcasting"
1,0,0,1,"As a conduit for divine power, you can cast cleric spelis."
2,1,2,0,"Cantrips"
3,1,0,1,"At 1st level, you know three cantrips of your choice from the cleric spell list. You learn additional cleric cantrips of your choice at higher levels, as shown in the Cantrips Known column of the Cleric table."
4,1,999,2,"Preparing and Casting Spells#$"
5,1,0,3,"The Cleric table shows how many spell slots you have to cast your spells of 1st level and higher. To cast one of these spells, you must expend a slot of the spell's level or higher. You regain all expended spell slots when you finish a long rest."
6,1,0,4,"You prepare the list of cleric spells that are available for you to cast, choosing from the cleric spell list. When you do so, choose a number of cleric spells equal to your Wisdom modifier + your cleric level (minimum of one spell). The spells must be of a level for which you have spell slots."
7,1,0,5,"For example, if you are a 3rd-level cleric, you have four 1st-level and two 2nd-level spell slots. With a Wisdom of 16, your list of prepared spells can include six spells of 1st or 2nd level, in any combination. If you prepare the 1st-level spell cure wounds, you can cast it using a 1st-level or 2nd-level slot. Casting the spell doesn't remove it from your list of prepared spells."
8,1,999,6,"You can change your list of prepared spells when you finish a long rest. Preparing a new list of cleric spells requires time spent in prayer and meditation:"
9,1,0,7,"at least 1 minute per spell level for each spell on your list."
10,2,2,0,"Spellcasting Ability"
11,2,0,1,"Wisdom is your spellcasting ability for your cleric spells. The power of your spells comes from your devotion to your deity. You use your Wisdom whenever a cleric spell refers to your spellcasting ability. In addition, you use your Wisdom modifier when setting the saving throw DC for a cleric spell you cast and when making an attack roll with one."
12,2,0,2,"<b>Spell save DC</b> = 8 + your proficiency bonus \+ your Wisdom modifier."
13,2,0,3,"<b>Spell attack modifier</b> = your proficiency bonus \+ your Wisdom modifier."
14,3,2,0,"Ritual Casting"
15,3,0,1,"You can cast a cleric spell as a ritual if that spell has the ritual tag and you have the spell prepared."
16,3,999,2,"Spellcasting Focus#$"
17,3,0,3,"You can use a holy symbol (see Equipment) as a spellcasting focus for your cleric spells."
18,4,1,0,"Divine Domain"
19,4,0,1,"Choose one domain related to your deity, such as Life. Each domain is detailed at the end of the class description, and each one provides examples of gods associated with it. Your choice grants you domain spells and other features when you choose it at 1st level. It also grants you additional ways to use Channel Divinity when you gain that feature at 2nd level, and additional benefits at 6th, 8th, and 17th levels."
20,5,2,0,"Domain Spells"
21,5,999,1,"Each domain has a list of spells-its domain spells-"
22,5,0,2,"that you gain at the cleric levels noted in the domain description. Once you gain a domain spell, you always have it prepared, and it doesn't count against the number of spells you can prepare each day."
23,5,0,3,"If you have a domain spell that doesn't appear on the cleric spell list, the spell is nonetheless a cleric spell for you."
24,6,1,0,"Channel Divinity"
25,6,999,1,"At 2nd level, you gain the ability to channel divine energy directly from your deity, using that energy to fuel magical effects. You start with two such effects:"
26,6,0,2,"Turn Undead and an effect determined by your domain. Some domains grant you additional effects as you advance in levels, as noted in the domain description."
27,6,0,3,"When you use your Channel Divinity, you choose which effect to create. You must then finish a short or long rest to use your Channel Divinity again."
28,6,0,4,"Some Channel Divinity effects require saving throws. When you use such an effect from this class, the DC equals your cleric Spell save DC."
29,6,0,5,"Beginning at 6th level, you can use your Channel Divinity twice between rests, and beginning at 18th level, you can use it three times between rests. When you finish a short or long rest, you regain your expended uses."
30,7,2,0,"Channel Divinity: Turn Undead"
31,7,0,1,"As an action, you present your holy symbol and speak a prayer censuring the undead. Each undead that can see or hear you within 30 feet of you must make a Wisdom saving throw. If the creature fails its saving throw, it is turned for 1 minute or until it takes any damage."
32,7,0,2,"A turned creature must spend its turns trying to move as far away from you as it can, and it can't willingly move to a space within 30 feet of you. It also can't take reactions. For its action, it can use only the Dash action or try to escape from an effect that prevents it from moving. If there's nowhere to move, the creature can use the Dodge action."
