text_id, feature_id, text_type, text_order, text_text
0,0,1,0,"Druidic"
1,0,0,1,"You know Druidic, the secret language of druids. You can speak the language and use it to leave hidden messages. You and others who know this language automatically spot such a message. Others spot the message's presence with a successful DC 15 Wisdom (Perception) check but can't decipher it without magic.#P#"
2,1,1,0,"Spellcasting"
3,1,0,1,"Drawing on the divine essence of nature itself, you can cast spells to shape that essence to your will.#P#"
4,2,2,0,"Cantrips"
5,2,0,1,"At 1st level, you know two cantrips of your choice from the druid spell list. You learn additional druid cantrips of your choice at higher levels, as shown in the Cantrips Known column of the Druid table.#P#"
6,3,2,0,"Preparing and Casting Spells"
7,3,0,1,"The Druid table shows how many spell slots you have to cast your spells of 1st level and higher. To cast one of these druid spells, you must expend a slot of the spell's level or higher. You regain all expended spell slots when you finish a long rest.#P#"
8,3,0,2,"You prepare the list of druid spells that are available for you to cast, choosing from the druid spell list. When you do so, choose a number of druid spells equal to your Wisdom modifier + your druid level (minimum of one spell). The spells must be of a level for which you have spell slots.#P#"
9,3,0,3,"For example, if you are a 3rd-level druid, you have four 1st-level and two 2nd-level spell slots. With a Wisdom of 16, your list of prepared spells can include six spells of 1st or 2nd level, in any combination. If you prepare the 1st-level spell cure wounds, you can cast it using a 1st-level or 2nd-level slot. Casting the spell doesn't remove it from your list of prepared spells.#P#"
10,3,0,4,"You can also change your list of prepared spells when you finish a long rest. Preparing a new list of druid spells requires time spent in prayer and meditation: at least 1 minute per spell level for each spell on your list.#P#"
11,4,2,0,"Spellcasting Ability"
12,4,0,1,"Wisdom is your spellcasting ability for your druid spells, since your magic draws upon your devotion and attunement to nature. You use your Wisdom whenever a spell refers to your spellcasting ability."
13,4,0,2,"In addition, you use your Wisdom modifier when setting the saving throw DC for a druid spell you cast and when making an attack roll with one.#P#"
14,4,0,3,"<b>Spell save DC</b> = 8 + your proficiency bonus \+ your Wisdom modifier.#P#"
15,4,0,4,"<b>Spell attack modifier</b> = your proficiency bonus \+ your Wisdom modifier.#P#"
16,5,2,0,"Ritual Casting"
17,5,0,1,"You can cast a druid spell as a ritual if that spell has the ritual tag and you have the spell prepared.#P#"
18,6,2,0,"Spellcasting Focus"
19,6,0,1,"You can use a druidic focus (see Equipment) as a spellcasting focus for your druid spells.#P#"
20,7,1,0,"Wild Shape"
21,7,0,1,"Starting at 2nd level, you can use your action to magically assume the shape of a beast that you have seen before. You can use this feature twice. You regain expended uses when you finish a short or long rest.#P#"
22,7,0,2,"Your druid level determines the beasts you can transform into, as shown in the Beast Shapes table."
23,7,0,3,"At 2nd level, for example, you can transform into any beast that has a challenge rating of 1/4 or lower that doesn't have a flying or swimming speed.#P#"
24,7,4,4,"Beast Shapes"
25,7,5,5,"Level_::_Max. CR_::_Limitations_::_Example"
26,7,6,6,"2nd_::_1/4_::_No flying or swimming speed_::_Wolf"
27,7,6,7,"4th_::_1/2_::_No flying speed_::_Crocodile"
28,7,6,8,"8th_::_1_::_-_::_Giant Eagle"
29,7,0,9,"You can stay in a beast shape for a number of hours equal to half your druid level (rounded down)."
30,7,0,10,"You then revert to your normal form unless you expend another use of this feature. You can revert to your normal form earlier by using a bonus action on your turn. You automatically revert if you fall unconscious, drop to 0 hit points, or die.#P#"
31,7,0,11,"While you are transformed, the following rules apply:#P#"
