text_id, feature_id, text_type, text_order, text_text
0,0,1,0,"Unarmored Defense"
1,0,999,1,"Beginning at 1st level, while you are wearing no armor and not wielding a shield, your AC equals 10 \+ your Dexterity modifier + your Wisdom modifier.#P#"
2,1,1,0,"Martial Arts"
3,1,999,1,"At 1st level, your practice of martial arts gives you mastery of combat styles that use unarmed strikes and monk weapons, which are shortswords and any simple melee weapons that don't have the two-"
4,1,999,2,"handed or heavy property.#P#"
5,1,999,3,"You gain the following benefits while you are unarmed or wielding only monk weapons and you aren't wearing armor or wielding a shield:#P#"
6,1,0,4,"You can use Dexterity instead of Strength for the attack and damage rolls of your unarmed strikes and monk weapons."
7,1,0,5,"You can roll a d4 in place of the normal damage of your unarmed strike or monk weapon. This die changes as you gain monk levels, as shown in the Martial Arts column of the Monk table."
8,1,0,6,"When you use the Attack action with an unarmed strike or a monk weapon on your turn, you can make one unarmed strike as a bonus action. For example, if you take the Attack action and attack with a quarterstaff, you can also make an unarmed strike as a bonus action, assuming you haven't already taken a bonus action this turn."
9,1,999,7,"Certain monasteries use specialized forms of the monk weapons. For example, you might use a club that is two lengths of wood connected by a short chain (called a nunchaku) or a sickle with a shorter, straighter blade (called a kama). Whatever name you use for a monk weapon, you can use the game statistics provided for the weapon.#P#"
10,2,1,0,"Ki"
11,2,999,1,"Starting at 2nd level, your training allows you to harness the mystic energy of ki. Your access to this energy is represented by a number of ki points. Your monk level determines the number of points you have, as shown in the Ki Points column of the Monk table.#P#"
12,2,999,2,"You can spend these points to fuel various ki features. You start knowing three such features:"
13,2,999,3,"Flurry of Blows, Patient Defense, and Step of the Wind. You learn more ki features as you gain levels in this class.#P#"
14,2,999,4,"When you spend a ki point, it is unavailable until you finish a short or long rest, at the end of which you draw all of your expended ki back into yourself."
15,2,999,5,"You must spend at least 30 minutes of the rest meditating to regain your ki points.#P#"
16,2,999,6,"Some of your ki features require your target to make a saving throw to resist the feature's effects."
17,2,999,7,"The saving throw DC is calculated as follows:#P#"
18,2,999,8,"<b>Ki save DC</b> = 8 + your proficiency bonus \+ your Wisdom modifier#P#"
19,3,2,0,"Flurry of Blows"
