text_id, feature_id, text_type, text_order, text_text
0,0,1,0,"Otherworldly Patron"
1,0,0,1,"At 1st level, you have struck a bargain with an otherworldly being of your choice: the Archfey, the Fiend, or the Great Old One, each of which is detailed at the end of the class description. Your choice grants you features at 1st level and again at 6th, 10th, and 14th level."
2,1,1,0,"Pact Magic"
3,1,0,1,"Your arcane research and the magic bestowed on you by your patron have given you facility with spells."
4,2,2,0,"Cantrips"
5,2,0,1,"You know two cantrips of your choice from the warlock spell list. You learn additional warlock cantrips of your choice at higher levels, as shown in the Cantrips Known column of the Warlock table."
6,3,2,0,"Spell Slots"
7,3,0,1,"The Warlock table shows how many spell slots you have. The table also shows what the level of those slots is; all of your spell slots are the same level. To cast one of your warlock spells of 1st level or higher, you must expend a spell slot. You regain all expended spell slots when you finish a short or long rest."
8,3,0,2,"For example, when you are 5th level, you have two 3rd-level spell slots. To cast the 1st-level spell thunderwave, you must spend one of those slots, and you cast it as a 3rd-level spell."
9,4,2,0,"Spells Known of Ist Level and Higher"
10,4,0,1,"At 1st level, you know two 1st-level spells of your choice from the warlock spell list."
11,4,0,2,"The Spells Known column of the Warlock table shows when you learn more warlock spells of your choice of 1st level and higher. A spell you choose must be of a level no higher than what's shown in the table's Slot Level column for your level. When you reach 6th level, for example, you learn a new warlock spell, which can be 1st, 2nd, or 3rd level."
12,4,0,3,"Additionally, when you gain a level in this class, you can choose one of the warlock spells you know and replace it with another spell from the warlock spell list, which also must be of a level for which you have spell slots."
13,5,2,0,"Spellcasting Ability"
14,5,0,1,"Charisma is your spellcasting ability for your warlock spells, so you use your Charisma whenever a spell refers to your spellcasting ability. In addition, you use your Charisma modifier when setting the saving throw DC for a warlock spell you cast and when making an attack roll with one."
15,6,2,0,"<b>Spell save DC</b> = 8 + your proficiency bonus \+ your Charisma modifier <b>Spell attack modifier</b> = your proficiency bonus \+ your Charisma modifier Spellcasting Focus"
16,6,0,1,"You can use an arcane focus as a spellcasting focus for your warlock spells."
17,7,1,0,"Eldritch Invocations"
18,7,0,1,"In your study of occult lore, you have unearthed eldritch invocations, fragments of forbidden knowledge that imbue you with an abiding magical ability."
19,7,0,2,"At 2nd level, you gain two eldritch invocations of your choice. Your invocation options are detailed at the end of the class description. When you gain certain warlock levels, you gain additional invocations of your choice, as shown in the Invocations Known column of the Warlock table."
20,7,0,3,"Additionally, when you gain a level in this class, you can choose one of the invocations you know and replace it with another invocation that you could learn at that level."
21,8,1,0,"Pact Boon"
22,8,0,1,"At 3rd level, your otherworldly patron bestows a gift upon you for your loyal service. You gain one of the following features of your choice."
23,9,2,0,"Pact of the Chain"
24,9,0,1,"You learn the find familiar spell and can cast it as a ritual. The spell doesn't count against your number of spells known."
25,9,0,2,"When you cast the spell, you can choose one of the normal forms for your familiar or one of the following special forms: imp, pseudodragon, quasit, or sprite."
26,9,0,3,"Additionally, when you take the Attack action, you can forgo one of your own attacks to allow your familiar to make one attack of its own with its reaction."
27,10,2,0,"Pact of the Blade"
28,10,0,1,"You can use your action to create a pact weapon in your empty hand. You can choose the form that this melee weapon takes each time you create it. You are proficient with it while you wield it. This weapon counts as magical for the purpose of overcoming resistance and immunity to nonmagical attacks and damage."
29,10,0,2,"Your pact weapon disappears if it is more than 5 feet away from you for 1 minute or more. It also disappears if you use this feature again, if you dismiss the weapon (no action required), or if you die."
30,10,0,3,"You can transform one magic weapon into your pact weapon by performing a special ritual while you hold the weapon. You perform the ritual over the course of 1 hour, which can be done during a short rest. You can then dismiss the weapon, shunting it into an extradimensional space, and it appears whenever you create your pact weapon thereafter. You can't affect an artifact or a sentient weapon in this way. The weapon ceases being your pact weapon if you die, if you perform the 1-hour ritual on a different weapon, or if you use a 1-hour ritual to break your bond to it. The weapon appears at your feet if it is in the extradimensional space when the bond breaks."
31,11,2,0,"Pact of the Tome"
32,11,0,1,"Your patron gives you a grimoire called a Book of Shadows. When you gain this feature, choose three cantrips from any class's spell list (the three needn't be from the same list). While the book is on your person, you can cast those cantrips at will. They don't count against your number of cantrips known."
33,11,0,2,"If they don't appear on the warlock spell list, they are nonetheless warlock spells for you."
34,11,0,3,"If you lose your Book of Shadows, you can perform a 1-hour ceremony to receive a replacement from your patron. This ceremony can be performed during a short or long rest, and it destroys the previous book. The book turns to ash when you die."
35,12,1,0,"Ability Score Improvement"
36,12,0,1,"When you reach 4th level, and again at 8th, 12th, 16th, and 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature."
37,13,1,0,"Mystic Arcanum"
38,13,0,1,"At 11th level, your patron bestows upon you a magical secret called an arcanum. Choose one 6th-"
39,13,0,2,"level spell from the warlock spell list as this arcanum."
40,13,0,3,"You can cast your arcanum spell once without expending a spell slot. You must finish a long rest before you can do so again."
41,13,0,4,"At higher levels, you gain more warlock spells of your choice that can be cast in this way: one 7th-"
42,13,0,5,"level spell at 13th level, one 8th-level spell at 15th level, and one 9th-level spell at 17th level. You regain all uses of your Mystic Arcanum when you finish a long rest."
43,14,1,0,"Eldritch Master"
44,14,0,1,"At 20th level, you can draw on your inner reserve of mystical power while entreating your patron to regain expended spell slots. You can spend 1 minute entreating your patron for aid to regain all your expended spell slots from your Pact Magic feature."
45,14,0,2,"Once you regain spell slots with this feature, you must finish a long rest before you can do so again."
46,15,1,0,"Eldritch Invocations"
47,15,0,1,"If an eldritch invocation has prerequisites, you must meet them to learn it. You can learn the invocation at the same time that you meet its prerequisites. A level prerequisite refers to your level in this class."
48,16,2,0,"Agonizing Blast"
49,16,0,1,"<b>Prerequisite: eldritch blast cantrip</b>"
50,16,0,2,"When you cast eldritch blast, add your Charisma modifier to the damage it deals on a hit."
51,17,2,0,"Armor of Shadows"
52,17,0,1,"You can cast mage armor on yourself at will, without expending a spell slot or material components."
53,18,2,0,"Ascendant Step"
54,18,0,1,"<b>Prerequisite: 9th level<b>"
55,18,0,2,"You can cast levitate on yourself at will, without expending a spell slot or material components."
56,19,2,0,"Beast Speech"
57,19,0,1,"You can cast speak with animals at will, without expending a spell slot."
58,20,2,0,"Beguiling Influence"
59,20,0,1,"You gain proficiency in the Deception and Persuasion skills."
60,21,2,0,"Bewitching Whispers"
61,21,0,1,"<b>Prerequisite: 7th level</b>"
62,21,0,2,"You can cast compulsion once using a warlock spell slot. You can't do so again until you finish a long rest."
63,22,2,0,"Book of Ancient Secrets"
64,22,0,1,"<b>Prerequisite: Pact of the Tome feature</b>"
