text_id, feature_id, text_type, text_order, text_text
0,0,1,0,"Rage"
1,0,0,1,"In battle, you fight with primal ferocity. On your turn, you can enter a rage as a bonus action."
2,0,0,2,"While raging, you gain the following benefits if you aren't wearing heavy armor:"
3,0,3,3,"You have advantage on Strength checks and Strength saving throws."
4,0,3,4,"When you make a melee weapon attack using Strength, you gain a bonus to the damage roll that increases as you gain levels as a barbarian, as shown in the Rage Damage column of the Barbarian table."
5,0,3,5,"You have resistance to bludgeoning, piercing, and slashing damage."
6,0,0,6,"If you are able to cast spells, you can't cast them or concentrate on them while raging."
7,0,0,7,"Your rage lasts for 1 minute. It ends early if you are knocked unconscious or if your turn ends and you haven't attacked a hostile creature since your last turn or taken damage since then. You can also end your rage on your turn as a bonus action."
8,0,0,8,"Once you have raged the number of times shown for your barbarian level in the Rages column of the Barbarian table, you must finish a long rest before you can rage again."
9,1,1,0,"Unarmored Defense"
10,1,0,1,"While you are not wearing any armor, your Armor Class equals 10 + your Dexterity modifier + your Constitution modifier. You can use a shield and still gain this benefit."
11,2,1,0,"Reckless Attack"
12,2,0,1,"Starting at 2nd level, you can throw aside all concern for defense to attack with fierce desperation. When you make your first attack on your turn, you can decide to attack recklessly. Doing so gives you advantage on melee weapon attack rolls using Strength during this turn, but attack rolls against you have advantage until your next turn."
13,3,1,0,"Danger Sense"
14,3,0,1,"At 2nd level, you gain an uncanny sense of when things nearby aren't as they should be, giving you an edge when you dodge away from danger."
15,3,0,2,"You have advantage on Dexterity saving throws against effects that you can see, such as traps and spells. To gain this benefit, you can't be blinded, deafened, or incapacitated."
16,4,1,0,"Primal Path"
17,4,0,1,"At 3rd level, you choose a path that shapes the nature of your rage. Choose the Path of the Berserker or the Path of the Totem Warrior, both detailed at the end of the class description. Your choice grants you features at 3rd level and again at 6th, 10th, and 14th levels."
18,5,1,0,"Ability Score Improvement"
19,5,0,1,"When you reach 4th level, and again at 8th, 12th, 16th, and 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature."
20,6,1,0,"Extra Attack"
21,6,0,1,"Beginning at 5th level, you can attack twice, instead of once, whenever you take the Attack action on your turn."
22,7,1,0,"Fast Movement"
23,7,0,1,"Starting at 5th level, your speed increases by 10 feet while you aren't wearing heavy armor."
24,8,1,0,"Feral Instinct"
25,8,0,1,"By 7th level, your instincts are so honed that you have advantage on initiative rolls."
26,8,0,2,"Additionally, if you are surprised at the beginning of combat and aren't incapacitated, you can act normally on your first turn, but only if you enter your rage before doing anything else on that turn."
27,9,1,0,"Brutal Critical"
28,9,0,1,"Beginning at 9th level, you can roll one additional weapon damage die when determining the extra damage for a critical hit with a melee attack."
29,9,0,2,"This increases to two additional dice at 13th level and three additional dice at 17th level."
30,10,1,0,"Relentless Rage"
31,10,0,1,"Starting at 11th level, your rage can keep you fighting despite grievous wounds. If you drop to 0 hit points while you're raging and don't die outright, you can make a DC 10 Constitution saving throw. If you succeed, you drop to 1 hit point instead."
32,10,0,2,"Each time you use this feature after the first, the DC increases by 5. When you finish a short or long rest, the DC resets to 10."
33,11,1,0,"Persistent Rage"
34,11,0,1,"Beginning at 15th level, your rage is so fierce that it ends early only if you fall unconscious or if you choose to end it."
35,12,1,0,"Indomitable Might"
